"Sample","OD","Dilution"
"CB1-GK107-D28C1",0.0655,204800
"CB1-GK108-D28C1",4.01,100
"CB1-GK108-D28C1",3.784,200
"CB1-GK108-D28C1",3.082,400
"CB1-GK108-D28C1",1.9095,800
"CB1-GK108-D28C1",1.1085,1600
"CB1-GK108-D28C1",0.6125,3200
"CB1-GK108-D28C1",0.332,6400
"CB1-GK108-D28C1",0.1845,12800
"CB1-GK108-D28C1",0.11,25600
"CB1-GK108-D28C1",0.076,51200
"CB1-GK108-D28C1",0.074,102400
"CB1-GK108-D28C1",0.07,204800
"CB1-GK114-D182C1",4.012,100
"CB1-GK114-D182C1",3.9645,200
"CB1-GK114-D182C1",4.0135,400
"CB1-GK114-D182C1",3.847,800
"CB1-GK114-D182C1",3.742,1600
"CB1-GK114-D182C1",3.49,3200
"CB1-GK114-D182C1",2.6145,6400
"CB1-GK114-D182C1",1.512,12800
"CB1-GK114-D182C1",0.861,25600
"CB1-GK114-D182C1",0.492,51200
"CB1-GK114-D182C1",0.299,102400
"CB1-GK114-D182C1",0.187,204800
"CB1-GK151-D28C1",4.01,100
"CB1-GK151-D28C1",3.5815,200
"CB1-GK151-D28C1",2.4685,400
"CB1-GK151-D28C1",1.4405,800
"CB1-GK151-D28C1",0.828,1600
"CB1-GK151-D28C1",0.4315,3200
"CB1-GK151-D28C1",0.2315,6400
"CB1-GK151-D28C1",0.1255,12800
"CB1-GK151-D28C1",0.0725,25600
"CB1-GK151-D28C1",0.0555,51200
"CB1-GK151-D28C1",0.0565,102400
"CB1-GK151-D28C1",0.0585,204800
"CB1-GK163-D182C1",4.1195,100
"CB1-GK163-D182C1",3.975,200
"CB1-GK163-D182C1",3.7995,400
"CB1-GK163-D182C1",3.0175,800
"CB1-GK163-D182C1",1.8615,1600
"CB1-GK163-D182C1",1.103,3200
"CB1-GK163-D182C1",0.5895,6400
"CB1-GK163-D182C1",0.3105,12800
"CB1-GK163-D182C1",0.1745,25600
"CB1-GK163-D182C1",0.1015,51200
"CB1-GK163-D182C1",0.073,102400
"CB1-GK163-D182C1",0.058,204800
"CB1-GK178-D182C1",4.1015,100
"CB1-GK178-D182C1",4.083,200
"CB1-GK178-D182C1",4.002,400
"CB1-GK178-D182C1",3.9935,800
"CB1-GK178-D182C1",3.8035,1600
"CB1-GK178-D182C1",3.378,3200
"CB1-GK178-D182C1",2.347,6400
"CB1-GK178-D182C1",1.409,12800
"CB1-GK178-D182C1",0.797,25600
"CB1-GK178-D182C1",0.4235,51200
"CB1-GK178-D182C1",0.2365,102400
"CB1-GK178-D182C1",0.1305,204800
"CB1-GK209-D28C1",3.9885,100
"CB1-GK209-D28C1",3.594,200
"CB1-GK209-D28C1",2.6425,400
"CB1-GK209-D28C1",1.5495,800
"CB1-GK209-D28C1",0.8595,1600
"CB1-GK209-D28C1",0.4715,3200
"CB1-GK209-D28C1",0.243,6400
"CB1-GK209-D28C1",0.1285,12800
"CB1-GK209-D28C1",0.074,25600
"CB1-GK209-D28C1",0.0545,51200
"CB1-GK209-D28C1",0.0565,102400
"CB1-GK209-D28C1",0.058,204800
"CB1-GK248-D182C1",3.786,100
"CB1-GK248-D182C1",3.052,200
"CB1-GK248-D182C1",1.919,400
"CB1-GK248-D182C1",1.0945,800
"CB1-GK248-D182C1",0.6025,1600
"CB1-GK248-D182C1",0.319,3200
"CB1-GK248-D182C1",0.172,6400
"CB1-GK248-D182C1",0.098,12800
"CB1-GK248-D182C1",0.061,25600
"CB1-GK248-D182C1",0.0545,51200
"CB1-GK248-D182C1",0.057,102400
"CB1-GK248-D182C1",0.061,204800
"CB1-GK254-D28C1",4.074,100
"CB1-GK254-D28C1",4.0385,200
"CB1-GK254-D28C1",4.121,400
"CB1-GK254-D28C1",3.6095,800
"CB1-GK254-D28C1",2.665,1600
"CB1-GK254-D28C1",1.6215,3200
"CB1-GK254-D28C1",0.979,6400
"CB1-GK254-D28C1",0.5275,12800
"CB1-GK254-D28C1",0.291,25600
"CB1-GK254-D28C1",0.162,51200
"CB1-GK254-D28C1",0.104,102400
"CB1-GK254-D28C1",0.068,204800
"CB1-GK256-D182C1",4.0235,100
"CB1-GK256-D182C1",3.8775,200
"CB1-GK256-D182C1",3.277,400
"CB1-GK256-D182C1",2.246,800
"CB1-GK256-D182C1",1.32,1600
"CB1-GK256-D182C1",0.737,3200
"CB1-GK256-D182C1",0.402,6400
